Neighborhood,Latitude,Longtitude
Clinton Hill,40.717,-74.199
Dayton,40.6996,-74.2033
Port Newark,40.6901,-74.1474
South Broad Valley,40.721111,-74.196944
Weequahic,40.7112,-74.215
The Coast/Lincoln Park,40.733497066,-74.169332656
Downtown Newark,40.7347,-74.1722
Government Center,40.731111,-74.173611
Springfield/Belmont,40.7326,-74.1915
University Heights,40.7417,-74.1856
Teachers Village,40.7344,-74.1747
Four Corners,40.73556,-74.172172
Five Corners,40.728056,-74.155556
Gateway Center,40.7345,-74.1657
The Ironbound,40.7235,-74.1622
Fairmount,40.7495,-74.1982
Ivy Hill,40.7376,-74.2469
Vailsburg,40.7381,74.2399
West Side,40.7342,-74.2033
